Symbol,CompanyName,Date,Open,High,Low,Close,Volume,AdjClose
AAPL,Apple Inc.,2/11/2025 4:45:06 PM,305.03,310.92,295.85,300.92,42895126,300.92
AAPL,Apple Inc.,2/12/2025 4:45:06 PM,300.92,302.13,292.73,294.72,1618241,294.72
AAPL,Apple Inc.,2/13/2025 4:45:06 PM,294.72,297.15,282.73,286.42,3524952,286.42
AAPL,Apple Inc.,2/14/2025 4:45:06 PM,286.42,294.74,284.61,292.3,32041121,292.3
AAPL,Apple Inc.,2/17/2025 4:45:06 PM,292.3,292.73,276.75,281.03,6113350,281.03
AAPL,Apple Inc.,2/18/2025 4:45:06 PM,281.03,283.3,264.33,269.06,18284084,269.06
AAPL,Apple Inc.,2/19/2025 4:45:06 PM,269.06,275.84,264.07,274.76,18833373,274.76
AAPL,Apple Inc.,2/20/2025 4:45:06 PM,274.76,275.57,260.41,263.6,6170121,263.6
AAPL,Apple Inc.,2/21/2025 4:45:06 PM,263.6,265.29,257.75,259.29,43158743,259.29
AAPL,Apple Inc.,2/24/2025 4:45:06 PM,259.29,264.75,254.96,263.31,2618181,263.31
AAPL,Apple Inc.,2/25/2025 4:45:06 PM,263.31,268.18,259.22,265.83,47484689,265.83
AAPL,Apple Inc.,2/26/2025 4:45:06 PM,265.83,268.13,250.28,253.76,29210084,253.76
AAPL,Apple Inc.,2/27/2025 4:45:06 PM,253.76,256.83,242.57,246.35,40711511,246.35
AAPL,Apple Inc.,2/28/2025 4:45:06 PM,246.35,247.76,243.92,247.17,48142963,247.17
AAPL,Apple Inc.,3/3/2025 4:45:06 PM,247.17,249.59,236.23,236.91,5814826,236.91
AAPL,Apple Inc.,3/4/2025 4:45:06 PM,236.91,241.53,227.28,231.53,4459270,231.53
AAPL,Apple Inc.,3/5/2025 4:45:06 PM,231.53,241.2,228.22,238.63,19874117,238.63
AAPL,Apple Inc.,3/6/2025 4:45:06 PM,238.63,240.81,225.1,229.59,42246655,229.59
AAPL,Apple Inc.,3/7/2025 4:45:06 PM,229.59,232.94,221.33,223.6,31958483,223.6
AAPL,Apple Inc.,3/10/2025 4:45:06 PM,223.6,230.66,222.23,226.44,14648587,226.44
AAPL,Apple Inc.,3/11/2025 4:45:06 PM,226.44,228.28,225.73,226.68,24998163,226.68
AAPL,Apple Inc.,3/12/2025 4:45:06 PM,226.68,230.28,221.41,223.97,11650869,223.97
AAPL,Apple Inc.,3/13/2025 4:45:06 PM,223.97,232.85,220.5,231.3,9095576,231.3
AAPL,Apple Inc.,3/14/2025 4:45:06 PM,231.3,234.71,219.34,222.73,31444191,222.73
AAPL,Apple Inc.,3/17/2025 4:45:06 PM,222.73,226.4,222.1,223.25,25875823,223.25
AAPL,Apple Inc.,3/18/2025 4:45:06 PM,223.25,229.5,221.22,228.13,37832145,228.13
AAPL,Apple Inc.,3/19/2025 4:45:06 PM,228.13,235.28,225.52,231,40415052,231
AAPL,Apple Inc.,3/20/2025 4:45:06 PM,231,237.58,229.45,233.56,8537656,233.56
AAPL,Apple Inc.,3/21/2025 4:45:06 PM,233.56,237.6,223.5,226.16,46103229,226.16
AAPL,Apple Inc.,3/24/2025 4:45:06 PM,226.16,235.36,223.04,233.36,1565487,233.36
AAPL,Apple Inc.,3/25/2025 4:45:06 PM,233.36,246.66,230.76,244.23,39571554,244.23
AAPL,Apple Inc.,3/26/2025 4:45:06 PM,244.23,252.68,240.75,248.64,25627654,248.64
AAPL,Apple Inc.,3/27/2025 4:45:06 PM,248.64,264.92,248.1,260.3,46139334,260.3
AAPL,Apple Inc.,3/28/2025 4:45:06 PM,260.3,272.1,257.38,267.82,11305821,267.82
AAPL,Apple Inc.,3/31/2025 4:45:06 PM,267.82,280.73,263.19,278.48,23282896,278.48
AAPL,Apple Inc.,4/1/2025 4:45:06 PM,278.48,282.76,267.49,270.78,48358328,270.78
AAPL,Apple Inc.,4/2/2025 4:45:06 PM,270.78,287.82,265.46,284.29,13981791,284.29
AAPL,Apple Inc.,4/3/2025 4:45:06 PM,284.29,289.06,269.89,274.3,5620922,274.3
AAPL,Apple Inc.,4/4/2025 4:45:06 PM,274.3,275.02,258.18,261.01,11820587,261.01
AAPL,Apple Inc.,4/7/2025 4:45:06 PM,261.01,270.91,260.64,267.34,40823406,267.34
AAPL,Apple Inc.,4/8/2025 4:45:06 PM,267.34,267.71,255.34,259.68,36441813,259.68
AAPL,Apple Inc.,4/9/2025 4:45:06 PM,259.68,268.44,257.78,266.24,19803204,266.24
